Language,Benchmark,Platform,Transform,NewMethod,EsMode,Estimator,TimePerElapsed,YieldInterval
python_pyjs,anagram,native,NA,NA,NA,NA,NA,NA,638,NA
python_pyjs,anagram,chrome,lazy,direct,es5,countdown,NA,NA,14352,0
python_pyjs,anagram,chrome,lazy,direct,sane,countdown,NA,1000000,5622,17
python_pyjs,anagram,chrome,lazy,wrapper,sane,countdown,NA,1000000,4456,17
python_pyjs,anagram,firefox,lazy,direct,sane,countdown,NA,1000000,7327,17
python_pyjs,anagram,firefox,lazy,wrapper,sane,countdown,NA,1000000,7500,17
python_pyjs,anagram,native,NA,NA,NA,NA,NA,NA,539,NA
python_pyjs,anagram,chrome,lazy,direct,es5,countdown,NA,NA,14408,0
python_pyjs,anagram,chrome,lazy,direct,sane,countdown,NA,1000000,5574,17
python_pyjs,anagram,chrome,lazy,wrapper,sane,countdown,NA,1000000,4520,17
python_pyjs,anagram,firefox,lazy,direct,sane,countdown,NA,1000000,7676,17
python_pyjs,anagram,firefox,lazy,wrapper,sane,countdown,NA,1000000,6920,17
python_pyjs,anagram,native,NA,NA,NA,NA,NA,NA,533,NA
python_pyjs,anagram,chrome,lazy,direct,es5,countdown,NA,NA,14313,0
python_pyjs,anagram,chrome,lazy,direct,sane,countdown,NA,1000000,5664,17
python_pyjs,anagram,chrome,lazy,wrapper,sane,countdown,NA,1000000,4526,17
python_pyjs,anagram,native,NA,NA,NA,NA,NA,NA,535,NA
python_pyjs,anagram,native,NA,NA,NA,NA,NA,NA,535,NA
python_pyjs,anagram,native,NA,NA,NA,NA,NA,NA,539,NA
python_pyjs,anagram,native,NA,NA,NA,NA,NA,NA,540,NA
python_pyjs,anagram,native,NA,NA,NA,NA,NA,NA,539,NA
python_pyjs,b,native,NA,NA,NA,NA,NA,NA,612,NA
python_pyjs,b,chrome,lazy,direct,es5,countdown,NA,NA,7378,0
python_pyjs,b,chrome,lazy,direct,sane,countdown,NA,1000000,1825,12
python_pyjs,b,chrome,lazy,wrapper,sane,countdown,NA,1000000,1725,12
python_pyjs,b,firefox,lazy,direct,sane,countdown,NA,1000000,2029,12
python_pyjs,b,firefox,lazy,wrapper,sane,countdown,NA,1000000,2028,12
